CompetitionID,TeamID,NOC,Name
0,10,CAN,Canada
0,17,NOR,Norway
0,18,SUI,Switzerland
0,19,SWE,Sweden
0,20,USA,United States of America
0,22,CZE,Czech Republic
0,24,ITA,Italy
0,27,GBR,Great Britain
0,43,CHN,People's Republic of China
0,46,AUS,Australia
22230015,10,CAN,Canada
22230015,11,DEN,Denmark
22230015,14,SCO,Scotland
22230015,22,CZE,Czech Republic
22230015,24,ITA,Italy
22230015,25,NED,Netherlands
22230015,36,HUN,Hungary
22230015,37,EST,Estonia
22230015,44,KOR,Korea
22230015,46,AUS,Australia
22230015,15,GER,Germany
22230015,16,JPN,Japan
22230015,17,NOR,Norway
22230015,18,SUI,Switzerland
22230015,19,SWE,Sweden
22230015,20,USA,United States
22230015,23,ENG,England
22230015,28,AUT,Austria
22230015,34,ESP,Spain
22230015,51,TUR,Türkiye
23240026,11,DEN,Denmark
23240026,13,FRA,France
23240026,15,GER,Germany
23240026,16,JPN,Japan
23240026,17,NOR,Norway
23240026,18,SUI,Switzerland
23240026,24,ITA,Italy
23240026,34,ESP,Spain
23240026,37,EST,Estonia
23240026,51,TUR,Türkiye
23240026,10,CAN,Canada
23240026,14,SCO,Scotland
23240026,19,SWE,Sweden
23240026,20,USA,United States
23240026,22,CZE,Czechia
23240026,25,NED,Netherlands
23240026,30,NZL,New Zealand
23240026,43,CHN,China
23240026,44,KOR,Korea
23240026,46,AUS,Australia
24250026,10,CAN,Canada
24250026,11,DEN,Denmark
24250026,12,FIN,Finland
24250026,14,SCO,Scotland
24250026,15,GER,Germany
24250026,19,SWE,Sweden
24250026,24,ITA,Italy
24250026,25,NED,Netherlands
24250026,43,CHN,China
24250026,44,KOR,Korea
24250026,16,JPN,Japan
24250026,17,NOR,Norway
24250026,18,SUI,Switzerland
24250026,20,USA,United States
24250026,22,CZE,Czechia
24250026,30,NZL,New Zealand
24250026,34,ESP,Spain
24250026,37,EST,Estonia
24250026,46,AUS,Australia
24250026,51,TUR,Türkiye
