CompetitionID,TeamID,NOC,Reportingname
0,10,CAN,HOMAN Rachel
0,10,CAN,MORRIS John
0,17,NOR,SKASLIEN Kristin
0,17,NOR,NEDREGOTTEN Magnus
0,18,SUI,PERRET Jenny
0,18,SUI,RIOS Martin
0,19,SWE,DE VAL Almida
0,19,SWE,ERIKSSON Oskar
0,20,USA,PERSINGER Vicky
0,20,USA,PLYS Christopher
0,22,CZE,PAULOVA Zuzana
0,22,CZE,PAUL Tomas
0,24,ITA,CONSTANTINI Stefania
0,24,ITA,MOSANER Amos
0,27,GBR,DODDS Jennifer
0,27,GBR,MOUAT Bruce
0,43,CHN,FAN SuYuan
0,43,CHN,LING Zhi
0,46,AUS,GILL Tahli
0,46,AUS,HEWITT Dean
22230015,10,CAN,JONES Jennifer
22230015,10,CAN,LAING Brent
22230015,11,DEN,LANDER Jasmin
22230015,11,DEN,HOLTERMANN Henrik
22230015,14,SCO,DODDS Jennifer
22230015,14,SCO,MOUAT Bruce
22230015,15,GER,SCHOELL Pia-Lisa
22230015,15,GER,HARSCH Klaudius
22230015,16,JPN,MATSUMURA Chiaki
22230015,16,JPN,TANIDA Yasumasa
22230015,17,NOR,ROENNING Martine
22230015,17,NOR,BRAENDEN Mathias
22230015,18,SUI,SCHWALLER-HUERLIMANN Briar
22230015,18,SUI,SCHWALLER Yannick
22230015,19,SWE,WESTMAN Therese
22230015,19,SWE,AHLBERG Robin
22230015,20,USA,THIESSE Cory
22230015,20,USA,DROPKIN Korey
22230015,22,CZE,ZELINGROVA Julie
22230015,22,CZE,CHABICOVSKY Vit
22230015,23,ENG,OPEL Lina
22230015,23,ENG,OPEL Michael
22230015,24,ITA,CONSTANTINI Stefania
22230015,24,ITA,ARMAN Sebastiano
22230015,25,NED,TONOLI Vanessa
22230015,25,NED,GOESGENS Wouter
22230015,28,AUT,AUGUSTIN Hannah
22230015,28,AUT,REICHEL Martin
22230015,34,ESP,OTAEGI Oihane
22230015,34,ESP,UNANUE Mikel
22230015,36,HUN,JOO Linda
22230015,36,HUN,TATAR Lorinc
22230015,37,EST,KALDVEE Marie
22230015,37,EST,LILL Harri
22230015,44,KOR,KIM Jiyoon
22230015,44,KOR,JEONG Byeongjin
22230015,46,AUS,GILL Tahli
22230015,46,AUS,HEWITT Dean
22230015,51,TUR,YILDIZ Dilsat
22230015,51,TUR,CAKIR Bilal Omer
23240026,10,CAN,LOTT Kadriana
23240026,10,CAN,LOTT Colton
23240026,11,DEN,LANDER Jasmin
23240026,11,DEN,HOLTERMANN Henrik
23240026,13,FRA,SHEVCHUK Kseniya
23240026,13,FRA,COULOT Wilfrid
23240026,14,SCO,JACKSON Sophie
23240026,14,SCO,McFADZEAN Duncan
23240026,15,GER,KAPP Lena
23240026,15,GER,TOTZEK Sixten
23240026,16,JPN,UENO Miyu
23240026,16,JPN,YAMAGUCHI Tsuyoshi
23240026,17,NOR,SKASLIEN Kristin
23240026,17,NOR,NEDREGOTTEN Magnus
23240026,18,SUI,SCHWALLER-HUERLIMANN Briar
23240026,18,SUI,SCHWALLER Yannick
23240026,19,SWE,WRANAA Isabella
23240026,19,SWE,WRANAA Rasmus
23240026,20,USA,HAMILTON Becca
23240026,20,USA,HAMILTON Matt
23240026,22,CZE,PAULOVA Zuzana
23240026,22,CZE,PAUL Tomas
23240026,24,ITA,CONSTANTINI Stefania
23240026,24,ITA,DE ZANNA Francesco
23240026,25,NED,TONOLI Vanessa
23240026,25,NED,GOESGENS Wouter
23240026,30,NZL,SMITH Courtney
23240026,30,NZL,HOOD Anton
23240026,34,ESP,OTAEGI Oihane
23240026,34,ESP,UNANUE Mikel
23240026,37,EST,KALDVEE Marie
23240026,37,EST,LILL Harri
23240026,43,CHN,YANG Ying
23240026,43,CHN,TIAN Jiafeng
23240026,44,KOR,KIM Jiyoon
23240026,44,KOR,JEONG Byeongjin
23240026,46,AUS,GILL Tahli
23240026,46,AUS,HEWITT Dean
23240026,51,TUR,YILDIZ Dilsat
23240026,51,TUR,CAKIR Bilal Omer
24250026,10,CAN,PETERMAN Jocelyn
24250026,10,CAN,GALLANT Brett
24250026,11,DEN,HOLTERMANN Jasmin
24250026,11,DEN,HOLTERMANN Henrik
24250026,12,FIN,IMMONEN Lotta
24250026,12,FIN,SIPILA Markus
24250026,14,SCO,DODDS Jennifer
24250026,14,SCO,MOUAT Bruce
24250026,15,GER,SCHOELL Pia-Lisa
24250026,15,GER,SUTOR Joshua
24250026,16,JPN,MATSUMURA Chiaki
24250026,16,JPN,TANIDA Yasumasa
24250026,17,NOR,SKASLIEN Kristin
24250026,17,NOR,NEDREGOTTEN Magnus
24250026,18,SUI,PAETZ Alina
24250026,18,SUI,MICHEL Sven
24250026,19,SWE,HASSELBORG Anna
24250026,19,SWE,ERIKSSON Oskar
24250026,20,USA,THIESSE Cory
24250026,20,USA,DROPKIN Korey
24250026,22,CZE,ZELINGROVA Julie
24250026,22,CZE,CHABICOVSKY Vit
24250026,24,ITA,CONSTANTINI Stefania
24250026,24,ITA,MOSANER Amos
24250026,25,NED,BOMAS Lisenka
24250026,25,NED,GOESGENS Wouter
24250026,30,NZL,SMITH Jessica
24250026,30,NZL,SMITH Ben
24250026,34,ESP,OTAEGI Oihane
24250026,34,ESP,UNANUE Mikel
24250026,37,EST,KALDVEE Marie
24250026,37,EST,LILL Harri
24250026,43,CHN,HAN Yu
24250026,43,CHN,WANG Zhiyu
24250026,44,KOR,KIM Kyeongae
24250026,44,KOR,SEONG Jihoon
24250026,46,AUS,GILL Tahli
24250026,46,AUS,HEWITT Dean
24250026,51,TUR,YILDIZ Dilsat
24250026,51,TUR,CAKIR Bilal Omer
