CompetitionID,SessionID,GameID,GroupID,Sheet,NOC1,NOC2,ResultStr1,ResultStr2,LSFE,Winner,TeamID1,TeamID2
0,1,1,0,A,SWE,GBR,5,9,0,0,19,27
0,1,2,0,B,AUS,USA,5,6,1,0,46,20
0,1,3,0,C,NOR,CZE,6,7,0,0,17,22
0,1,4,0,D,CHN,SUI,7,6,1,1,43,18
0,2,1,0,A,AUS,CHN,5,6,0,0,46,43
0,2,2,0,B,SWE,CZE,7,4,1,1,19,22
0,2,3,0,C,USA,ITA,4,8,1,0,20,24
0,2,4,0,D,GBR,CAN,6,4,0,1,27,10
0,3,1,0,A,ITA,SUI,8,7,0,1,24,18
0,3,2,0,B,USA,NOR,6,11,1,0,20,17
0,4,1,0,A,NOR,CAN,6,7,1,0,17,10
0,4,2,0,B,SUI,GBR,8,7,0,1,18,27
0,4,3,0,C,CHN,SWE,6,7,0,0,43,19
0,4,4,0,D,CZE,AUS,8,2,1,1,22,46
0,5,1,0,B,SWE,AUS,7,6,1,1,19,46
0,5,2,0,C,CAN,SUI,7,5,0,1,10,18
0,5,3,0,D,ITA,NOR,11,8,0,1,24,17
0,6,1,0,A,CZE,ITA,2,10,0,0,22,24
0,6,2,0,B,CHN,CAN,6,8,1,0,43,10
0,6,3,0,C,GBR,AUS,9,8,1,1,27,46
0,6,4,0,D,SWE,USA,7,8,1,0,19,20
0,7,1,0,C,AUS,NOR,4,10,0,0,46,17
0,7,2,0,D,SUI,SWE,1,6,0,0,18,19
0,8,1,0,A,CHN,USA,5,7,0,0,43,20
0,8,2,0,B,CZE,GBR,3,8,1,0,22,27
0,8,3,0,C,SWE,CAN,6,2,0,1,19,10
0,8,4,0,D,AUS,ITA,3,7,0,0,46,24
0,9,1,0,A,GBR,ITA,5,7,0,0,27,24
0,9,2,0,B,NOR,CHN,9,6,0,1,17,43
0,9,3,0,C,CZE,SUI,3,11,0,0,22,18
0,9,4,0,D,USA,CAN,2,7,1,0,20,10
0,10,1,0,A,USA,CZE,8,10,0,0,20,22
0,10,2,0,B,GBR,CHN,6,5,0,1,27,43
0,11,1,0,A,NOR,SWE,6,2,1,1,17,19
0,11,2,0,B,AUS,SUI,9,6,1,1,46,18
0,11,3,0,C,ITA,CHN,8,4,0,1,24,43
0,11,4,0,D,CAN,CZE,7,5,0,1,10,22
0,12,1,0,A,CAN,AUS,8,10,0,0,10,46
0,12,2,0,B,ITA,SWE,12,8,0,1,24,19
0,12,3,0,C,SUI,USA,6,5,1,1,18,20
0,12,4,0,D,NOR,GBR,6,2,0,1,17,27
0,13,1,0,A,SUI,NOR,5,6,1,0,18,17
0,13,2,0,B,CAN,ITA,7,8,0,0,10,24
0,13,3,0,C,USA,GBR,4,8,1,0,20,27
0,13,4,0,D,CZE,CHN,8,6,0,1,22,43
0,46,1,0,C,ITA,SWE,8,1,1,1,24,19
0,46,2,0,A,NOR,GBR,6,5,1,1,17,27
0,48,1,0,B,SWE,GBR,9,3,0,1,19,27
0,49,1,0,B,ITA,NOR,8,5,1,1,24,17
22230015,1,1,1,A,KOR,HUN,11,5,1,1,44,36
22230015,1,2,1,B,NED,AUS,6,7,0,0,25,46
22230015,1,3,1,C,CAN,SCO,8,4,1,1,10,14
22230015,1,4,1,D,ITA,CZE,7,4,1,1,24,22
22230015,1,5,1,E,EST,DEN,6,7,0,0,37,11
22230015,2,1,2,A,JPN,GER,7,6,1,1,16,15
22230015,2,2,2,B,ESP,NOR,6,7,1,0,34,17
22230015,2,3,2,C,SUI,ENG,11,2,1,1,18,23
22230015,2,4,2,D,TUR,AUT,7,6,1,1,51,28
22230015,2,5,2,E,USA,SWE,7,6,0,1,20,19
22230015,3,1,1,A,AUS,ITA,7,1,0,1,46,24
22230015,3,2,1,B,HUN,CZE,5,6,1,0,36,22
22230015,3,3,1,C,EST,KOR,8,5,0,1,37,44
22230015,3,4,1,D,DEN,SCO,1,7,0,0,11,14
22230015,3,5,1,E,NED,CAN,5,10,0,0,25,10
22230015,4,1,2,A,NOR,TUR,6,4,0,1,17,51
22230015,4,2,2,B,GER,AUT,6,11,1,0,15,28
22230015,4,3,2,C,USA,JPN,5,7,1,0,20,16
22230015,4,4,2,D,SWE,ENG,10,3,1,1,19,23
22230015,4,5,2,E,ESP,SUI,7,8,1,0,34,18
22230015,5,1,1,A,SCO,NED,7,4,0,1,14,25
22230015,5,2,1,B,KOR,DEN,6,9,0,0,44,11
22230015,5,3,1,C,HUN,ITA,4,8,1,0,36,24
22230015,5,4,1,D,CAN,EST,4,7,1,0,10,37
22230015,5,5,1,E,AUS,CZE,3,9,0,0,46,22
22230015,6,1,2,A,ENG,ESP,3,9,0,0,23,34
22230015,6,2,2,B,JPN,SWE,8,7,0,1,16,19
22230015,6,3,2,C,GER,TUR,6,12,0,0,15,51
22230015,6,4,2,D,SUI,USA,2,8,0,0,18,20
22230015,6,5,2,E,NOR,AUT,6,2,1,1,17,28
22230015,7,1,1,A,CZE,EST,6,12,0,0,22,37
22230015,7,2,1,B,CAN,ITA,8,4,1,1,10,24
22230015,7,3,1,C,DEN,AUS,7,9,1,0,11,46
22230015,7,4,1,D,SCO,KOR,11,6,1,1,14,44
22230015,7,5,1,E,HUN,NED,6,8,0,0,36,25
22230015,8,1,2,A,AUT,USA,2,10,0,0,28,20
22230015,8,2,2,B,SUI,TUR,5,4,1,1,18,51
22230015,8,3,2,C,SWE,NOR,5,9,1,0,19,17
22230015,8,4,2,D,ENG,JPN,7,12,0,0,23,16
22230015,8,5,2,E,GER,ESP,6,7,1,0,15,34
22230015,9,1,1,A,CAN,AUS,11,6,1,1,10,46
22230015,9,2,1,B,EST,HUN,9,2,1,1,37,36
22230015,9,3,1,C,KOR,CZE,12,7,0,1,44,22
22230015,9,4,1,D,NED,DEN,8,7,0,1,25,11
22230015,9,5,1,E,ITA,SCO,6,8,0,0,24,14
22230015,10,1,2,A,SUI,NOR,5,7,0,0,18,17
22230015,10,2,2,B,USA,GER,7,1,1,1,20,15
22230015,10,3,2,C,JPN,AUT,9,2,1,1,16,28
22230015,10,4,2,D,ESP,SWE,2,11,0,0,34,19
22230015,10,5,2,E,TUR,ENG,8,2,1,1,51,23
22230015,11,1,1,A,EST,SCO,6,5,0,1,37,14
22230015,11,2,1,B,AUS,KOR,10,7,1,1,46,44
22230015,11,3,1,C,ITA,NED,8,6,1,1,24,25
22230015,11,4,1,D,CZE,CAN,3,8,0,0,22,10
22230015,11,5,1,E,DEN,HUN,5,6,1,0,11,36
22230015,12,1,2,A,USA,ENG,7,2,1,1,20,23
22230015,12,2,2,B,NOR,JPN,8,10,1,0,17,16
22230015,12,3,2,C,TUR,ESP,10,4,0,1,51,34
22230015,12,4,2,D,AUT,SUI,5,7,1,0,28,18
22230015,12,5,2,E,SWE,GER,4,9,0,0,19,15
22230015,13,1,1,A,NED,CZE,5,7,0,0,25,22
22230015,13,2,1,B,DEN,CAN,2,8,1,0,11,10
22230015,13,3,1,C,SCO,HUN,7,6,0,1,14,36
22230015,13,4,1,D,EST,AUS,9,3,1,1,37,46
22230015,13,5,1,E,KOR,ITA,3,6,0,0,44,24
22230015,14,1,2,A,ESP,AUT,7,5,1,1,34,28
22230015,14,2,2,B,SWE,SUI,4,8,1,0,19,18
22230015,14,3,2,C,ENG,GER,3,8,1,0,23,15
22230015,14,4,2,D,USA,NOR,5,3,1,1,20,17
22230015,14,5,2,E,JPN,TUR,7,4,1,1,16,51
22230015,15,1,1,A,HUN,CAN,7,8,0,0,36,10
22230015,15,2,1,B,ITA,EST,6,7,1,0,24,37
22230015,15,3,1,C,CZE,DEN,5,6,0,0,22,11
22230015,15,4,1,D,KOR,NED,4,8,1,0,44,25
22230015,15,5,1,E,SCO,AUS,8,6,1,1,14,46
22230015,16,1,2,A,GER,SUI,7,8,0,0,15,18
22230015,16,2,2,B,TUR,USA,7,8,0,0,51,20
22230015,16,3,2,C,AUT,SWE,2,10,0,0,28,19
22230015,16,4,2,D,JPN,ESP,7,5,0,1,16,34
22230015,16,5,2,E,ENG,NOR,2,9,0,0,23,17
22230015,17,1,1,A,ITA,DEN,9,11,1,0,24,11
22230015,17,2,1,B,CZE,SCO,5,6,0,0,22,14
22230015,17,3,1,C,NED,EST,8,6,0,1,25,37
22230015,17,4,1,D,AUS,HUN,7,5,0,1,46,36
22230015,17,5,1,E,CAN,KOR,7,6,1,1,10,44
22230015,18,1,2,A,TUR,SWE,8,9,1,0,51,19
22230015,18,2,2,B,AUT,ENG,8,2,0,1,28,23
22230015,18,3,2,C,ESP,USA,9,8,1,1,34,20
22230015,18,4,2,D,NOR,GER,6,4,1,1,17,15
22230015,18,5,2,E,SUI,JPN,9,1,0,1,18,16
22230015,41,1,0,D,USA,SCO,8,6,1,1,20,14
22230015,41,2,0,B,NOR,EST,8,5,0,1,17,37
22230015,45,1,0,A,GER,CZE,3,5,1,0,15,22
22230015,45,2,0,E,AUT,KOR,6,8,1,0,28,44
22230015,46,1,0,B,USA,CAN,6,2,0,1,20,10
22230015,46,2,0,D,JPN,NOR,5,4,1,1,16,17
22230015,48,1,0,C,NOR,CAN,6,2,0,1,17,10
22230015,49,1,0,C,JPN,USA,2,8,1,0,16,20
23240026,1,1,1,A,DEN,GER,4,6,0,0,11,15
23240026,1,2,1,B,ESP,ITA,2,5,1,0,34,24
23240026,1,3,1,C,TUR,EST,5,7,0,0,51,37
23240026,1,4,1,D,SUI,FRA,8,4,0,1,18,13
23240026,1,5,1,E,NOR,JPN,5,6,0,0,17,16
23240026,2,1,2,A,SCO,CZE,7,3,0,1,14,22
23240026,2,2,2,B,CHN,NED,9,5,0,1,43,25
23240026,2,3,2,C,SWE,USA,6,5,0,1,19,20
23240026,2,4,2,D,NZL,CAN,2,7,0,0,30,10
23240026,2,5,2,E,KOR,AUS,5,6,1,0,44,46
23240026,3,1,1,A,ITA,SUI,4,8,0,0,24,18
23240026,3,2,1,B,GER,FRA,9,5,1,1,15,13
23240026,3,3,1,C,NOR,DEN,6,7,1,0,17,11
23240026,3,4,1,D,JPN,EST,4,7,0,0,16,37
23240026,3,5,1,E,ESP,TUR,3,7,1,0,34,51
23240026,4,1,2,A,NED,NZL,6,2,1,1,25,30
23240026,4,2,2,B,CZE,CAN,3,8,1,0,22,10
23240026,4,3,2,C,KOR,SCO,6,4,0,1,44,14
23240026,4,4,2,D,AUS,USA,7,8,1,0,46,20
23240026,4,5,2,E,CHN,SWE,3,9,0,0,43,19
23240026,5,1,1,A,EST,ESP,10,2,1,1,37,34
23240026,5,2,1,B,DEN,JPN,3,8,0,0,11,16
23240026,5,3,1,C,GER,SUI,3,9,0,0,15,18
23240026,5,4,1,D,TUR,NOR,5,6,0,0,51,17
23240026,5,5,1,E,ITA,FRA,10,6,0,1,24,13
23240026,6,1,2,A,USA,CHN,8,6,0,1,20,43
23240026,6,2,2,B,SCO,AUS,7,5,1,1,14,46
23240026,6,3,2,C,CZE,NZL,8,6,1,1,22,30
23240026,6,4,2,D,SWE,KOR,8,5,1,1,19,44
23240026,6,5,2,E,NED,CAN,0,11,0,0,25,10
23240026,7,1,1,A,FRA,NOR,2,8,1,0,13,17
23240026,7,2,1,B,TUR,SUI,3,10,0,0,51,18
23240026,7,3,1,C,JPN,ITA,2,8,1,0,16,24
23240026,7,4,1,D,EST,DEN,7,8,1,0,37,11
23240026,7,5,1,E,GER,ESP,7,4,1,1,15,34
23240026,8,1,2,A,CAN,KOR,6,4,0,1,10,44
23240026,8,2,2,B,SWE,NZL,7,1,1,1,19,30
23240026,8,3,2,C,AUS,NED,4,9,0,0,46,25
23240026,8,4,2,D,USA,SCO,8,4,0,1,20,14
23240026,8,5,2,E,CZE,CHN,9,2,1,1,22,43
23240026,9,1,1,A,TUR,ITA,3,8,1,0,51,24
23240026,9,2,1,B,NOR,GER,7,4,1,1,17,15
23240026,9,3,1,C,DEN,FRA,8,10,1,0,11,13
23240026,9,4,1,D,ESP,JPN,4,7,0,0,34,16
23240026,9,5,1,E,SUI,EST,8,4,1,1,18,37
23240026,10,1,2,A,SWE,NED,6,2,1,1,19,25
23240026,10,2,2,B,KOR,CZE,9,3,1,1,44,22
23240026,10,3,2,C,SCO,CAN,5,12,0,0,14,10
23240026,10,4,2,D,CHN,AUS,6,5,0,1,43,46
23240026,10,5,2,E,NZL,USA,4,5,0,0,30,20
23240026,11,1,1,A,NOR,EST,9,4,1,1,17,37
23240026,11,2,1,B,ITA,DEN,9,4,0,1,24,11
23240026,11,3,1,C,SUI,ESP,8,1,1,1,18,34
23240026,11,4,1,D,FRA,TUR,4,7,0,0,13,51
23240026,11,5,1,E,JPN,GER,7,5,0,1,16,15
23240026,12,1,2,A,KOR,USA,7,5,1,1,44,20
23240026,12,2,2,B,NED,SCO,5,7,0,0,25,14
23240026,12,3,2,C,NZL,CHN,4,8,1,0,30,43
23240026,12,4,2,D,CAN,SWE,5,6,0,0,10,19
23240026,12,5,2,E,AUS,CZE,7,6,1,1,46,22
23240026,13,1,1,A,ESP,FRA,10,6,0,1,34,13
23240026,13,2,1,B,JPN,TUR,7,5,0,1,16,51
23240026,13,3,1,C,EST,GER,10,2,1,1,37,15
23240026,13,4,1,D,NOR,ITA,7,4,0,1,17,24
23240026,13,5,1,E,DEN,SUI,9,4,0,1,11,18
23240026,14,1,2,A,CHN,CAN,4,10,0,0,43,10
23240026,14,2,2,B,AUS,SWE,6,7,0,0,46,19
23240026,14,3,2,C,USA,CZE,4,7,1,0,20,22
23240026,14,4,2,D,KOR,NED,7,6,0,1,44,25
23240026,14,5,2,E,SCO,NZL,9,3,1,1,14,30
23240026,15,1,1,A,GER,TUR,8,5,1,1,15,51
23240026,15,2,1,B,SUI,NOR,5,6,1,0,18,17
23240026,15,3,1,C,FRA,JPN,8,7,0,1,13,16
23240026,15,4,1,D,DEN,ESP,10,7,0,1,11,34
23240026,15,5,1,E,EST,ITA,8,6,1,1,37,24
23240026,16,1,2,A,CZE,SWE,4,7,1,0,22,19
23240026,16,2,2,B,NZL,KOR,8,5,1,1,30,44
23240026,16,3,2,C,CAN,AUS,11,4,1,1,10,46
23240026,16,4,2,D,SCO,CHN,6,4,1,1,14,43
23240026,16,5,2,E,USA,NED,10,0,1,1,20,25
23240026,17,1,1,A,SUI,JPN,7,8,1,0,18,16
23240026,17,2,1,B,FRA,EST,3,8,0,0,13,37
23240026,17,3,1,C,ESP,NOR,3,9,0,0,34,17
23240026,17,4,1,D,ITA,GER,8,6,0,1,24,15
23240026,17,5,1,E,TUR,DEN,7,5,1,1,51,11
23240026,18,1,2,A,NZL,AUS,2,7,1,0,30,46
23240026,18,2,2,B,CAN,USA,12,6,0,1,10,20
23240026,18,3,2,C,CHN,KOR,5,7,1,0,43,44
23240026,18,4,2,D,NED,CZE,7,1,1,1,25,22
23240026,18,5,2,E,SWE,SCO,4,8,1,0,19,14
23240026,41,1,0,D,EST,CAN,6,5,0,1,37,10
23240026,41,2,0,B,SUI,SCO,8,6,1,1,18,14
23240026,45,1,0,A,CZE,TUR,8,4,0,1,22,51
23240026,45,2,0,E,AUS,FRA,7,5,0,1,46,13
23240026,46,1,0,B,NOR,EST,6,8,1,0,17,37
23240026,46,2,0,D,SUI,SWE,3,6,0,0,18,19
23240026,48,1,0,C,NOR,SUI,6,5,1,1,17,18
