GameUID,EndID,TeamID,PowerPlay,Result,Has_Hammer,OpponentNOC,PP_Right,PP_Left,BurialDepth,GuardAngle,ClusterIndex,SideOpenness,OpeningShotPoints,OpeningTask1,OpeningTask2,OpeningTask3
0_1_1,1,19,0.0,0,0,GBR,0.4444444444444444,0.5555555555555556,105.25505335979295,1.4246330738067627,0.48,-1.2,7,Draw,Draw,Hit and Roll
0_1_1,1,27,0.0,1,1,SWE,0.5675675675675675,0.4324324324324324,105.14411243211234,1.3759119749069213,0.4298412698412698,-1.2,2,Draw,Draw,Take-out
0_1_1,2,19,0.0,2,1,GBR,0.4444444444444444,0.5555555555555556,138.39152529734145,-2.0858569622039798,0.4599999999999999,-1.0,2,Draw,Take-out,Double Take-out
0_1_1,2,27,0.0,0,0,SWE,0.5675675675675675,0.4324324324324324,103.41040249443992,-1.8203059196472169,0.5809523809523809,-1.4,12,Draw,Draw,Draw
0_1_1,3,19,0.0,0,0,GBR,0.4444444444444444,0.5555555555555556,105.38313350960117,1.583189845085144,0.462972582972583,-1.0,7,Draw,Draw,Draw
0_1_1,3,27,0.0,3,1,SWE,0.5675675675675675,0.4324324324324324,94.6236913110084,1.583189845085144,0.475,-0.6,11,Draw,Draw,Raise / Tap-back
0_1_1,4,19,0.0,1,1,GBR,0.4444444444444444,0.5555555555555556,150.0,-1.5707963705062866,0.3507142857142857,2.0,6,Draw,Raise / Tap-back,Draw
0_1_1,4,27,0.0,0,0,SWE,0.5675675675675675,0.4324324324324324,150.0,-1.5707963705062866,0.3883333333333333,2.0,9,Draw,Draw,Draw
0_1_1,5,19,0.0,2,0,GBR,0.4444444444444444,0.5555555555555556,149.29322482697106,1.5718658685684204,0.3384126984126984,-0.6,9,Draw,Draw,Draw
0_1_1,5,27,0.0,0,1,SWE,0.5675675675675675,0.4324324324324324,133.29253697858223,1.6959157466888428,0.35,-0.6,8,Draw,Draw,Clearing
0_1_1,6,19,0.0,0,0,GBR,0.4444444444444444,0.5555555555555556,237.7260967672268,1.2758904695510864,0.1316666666666666,2.4,12,Draw,Draw,Draw
0_1_1,6,27,1.0,1,1,SWE,0.5675675675675675,0.4324324324324324,253.6022101915272,1.2758904695510864,0.1166666666666666,2.4,8,Draw,Hit and Roll,Draw
0_1_1,7,19,1.0,0,1,GBR,0.4444444444444444,0.5555555555555556,126.95486184728624,-0.385827362537384,0.19,2.6,4,Raise / Tap-back,Hit and Roll,Double Take-out
0_1_1,7,27,0.0,3,0,SWE,0.5675675675675675,0.4324324324324324,126.95486184728624,-0.2837908908724785,0.1876190476190476,2.0,11,Draw,Draw,Guard
0_1_1,8,19,0.0,0,1,GBR,0.4444444444444444,0.5555555555555556,45.11632243194606,-1.1565703570842742,0.5661904761904762,0.8,12,Draw,Draw,Draw
0_1_1,8,27,0.0,1,0,SWE,0.5675675675675675,0.4324324324324324,50.69098216842364,-1.1577197730541229,0.58,0.2,8,Draw,Draw,Promotion Take-out
0_1_2,1,20,0.0,0,0,AUS,0.5757575757575758,0.4242424242424242,117.8882480517425,-0.3310539722442627,0.4209523809523809,-1.8,8,Draw,Draw,Draw
0_1_2,1,46,0.0,1,1,USA,0.425,0.575,227.7884455165944,0.6173083543777466,0.3166666666666666,-1.8,9,Draw,Draw,Double Take-out
0_1_2,2,20,0.0,1,1,AUS,0.5757575757575758,0.4242424242424242,180.89433920903176,1.365980124473572,0.359047619047619,-2.0,5,Draw,Draw,Double Take-out
0_1_2,2,46,0.0,0,0,USA,0.425,0.575,159.6489596332615,1.4171841859817504,0.3942857142857142,-2.4,9,Draw,Draw,Guard
0_1_2,3,20,0.0,0,0,AUS,0.5757575757575758,0.4242424242424242,95.482908195164,-1.9515552520751955,0.44,-2.0,12,Draw,Draw,Draw
0_1_2,3,46,0.0,1,1,USA,0.425,0.575,159.18194089454596,-2.0784748792648315,0.2566666666666666,-2.2,8,Draw,Promotion Take-out,Hit and Roll
0_1_2,4,20,0.0,1,1,AUS,0.5757575757575758,0.4242424242424242,28.10030890801104,-0.0675328016281127,0.7361904761904763,1.4,10,Draw,Draw,Double Take-out
0_1_2,4,46,0.0,0,0,USA,0.425,0.575,41.09333340564023,0.4771408796310424,0.6628571428571428,1.0,10,Draw,Draw,Hit and Roll
0_1_2,5,20,0.0,1,0,AUS,0.5757575757575758,0.4242424242424242,93.0399470806872,-1.6855115652084351,0.393095238095238,1.6,9,Draw,Draw,Draw
0_1_2,5,46,0.0,0,1,USA,0.425,0.575,93.0399470806872,-1.6855115652084351,0.3666666666666666,1.8,6,Draw,Draw,Clearing
0_1_2,6,20,0.0,0,0,AUS,0.5757575757575758,0.4242424242424242,266.5625077318361,3.017237663269043,0.18,-2.0,5,Wick / Soft Peeling,Draw,Double Take-out
0_1_2,6,46,2.0,3,1,USA,0.425,0.575,188.38442837434923,3.017237663269043,0.2766666666666666,-1.4,8,Draw,Draw,Draw
0_1_2,7,20,2.0,2,1,AUS,0.5757575757575758,0.4242424242424242,389.6735984072942,1.7621548175811768,0.0,-0.6,8,Draw,Hit and Roll,Hit and Roll
0_1_2,7,46,0.0,0,0,USA,0.425,0.575,215.7252948033732,1.7621548175811768,0.1666666666666666,-1.0,10,Wick / Soft Peeling,Draw,Hit and Roll
0_1_2,8,20,0.0,1,0,AUS,0.5757575757575758,0.4242424242424242,169.44620071586604,-1.8861161470413208,0.3166666666666666,-0.4,8,Draw,Draw,Front
0_1_2,8,46,0.0,0,1,USA,0.425,0.575,169.44620071586604,-1.8861161470413208,0.3666666666666666,-1.2,12,Wick / Soft Peeling,Clearing,Clearing
0_1_3,1,17,0.0,1,0,CZE,0.5483870967741935,0.4516129032258064,86.37062076957423,1.5707963705062866,0.529047619047619,2.4,10,Draw,Draw,Draw
0_1_3,1,22,0.0,0,1,NOR,0.5609756097560976,0.4390243902439024,112.21329365322818,1.5707963705062866,0.4466666666666666,2.4,7,Draw,Take-out,Take-out
0_1_3,2,17,0.0,1,0,CZE,0.5483870967741935,0.4516129032258064,63.32586563638754,1.5707963705062866,0.7475901875901876,-1.4,11,Draw,Draw,Draw
0_1_3,2,22,0.0,0,1,NOR,0.5609756097560976,0.4390243902439024,62.574477234074685,1.5707963705062866,0.758939393939394,-1.4,10,Draw,Raise / Tap-back,Draw
0_1_3,3,17,0.0,0,0,CZE,0.5483870967741935,0.4516129032258064,86.83242918347,1.5707963705062866,0.4977777777777777,-0.6,10,Draw,Draw,Draw
0_1_3,3,22,0.0,2,1,NOR,0.5609756097560976,0.4390243902439024,88.9114513236834,1.5707963705062866,0.5342857142857143,-1.0,11,Draw,Raise / Tap-back,Take-out
0_1_3,4,17,0.0,1,1,CZE,0.5483870967741935,0.4516129032258064,82.16093310192196,-1.671779417991638,0.4438888888888889,1.0,7,Draw,Draw,Draw
0_1_3,4,22,0.0,0,0,NOR,0.5609756097560976,0.4390243902439024,79.66539335641197,-1.666336226463318,0.4273809523809523,1.0,6,Draw,Raise / Tap-back,Raise / Tap-back
0_1_3,5,17,0.0,0,0,CZE,0.5483870967741935,0.4516129032258064,79.7304438880662,1.5675621509552002,0.6716666666666666,2.2,9,Draw,Draw,Guard
