EndUID,Has_Hammer,PowerPlayBool,EndID,PrevScoreDiff,PrevEndDiff,Result
0_10_1_20_1,0,0.0,1,0.0,0.0,1
0_10_1_20_2,0,0.0,2,1.0,1.0,0
0_10_1_20_3,1,0.0,3,-2.0,-3.0,3
0_10_1_20_4,0,0.0,4,1.0,3.0,0
0_10_1_20_5,1,0.0,5,-3.0,-4.0,3
0_10_1_20_6,0,0.0,6,0.0,3.0,0
0_10_1_20_7,1,1.0,7,0.0,0.0,1
0_10_1_20_8,0,0.0,8,1.0,1.0,0
0_10_1_22_1,1,0.0,1,0.0,0.0,0
0_10_1_22_2,1,0.0,2,-1.0,-1.0,3
0_10_1_22_3,0,0.0,3,2.0,3.0,0
0_10_1_22_4,1,0.0,4,-1.0,-3.0,4
0_10_1_22_5,0,0.0,5,3.0,4.0,0
0_10_1_22_6,1,1.0,6,0.0,-3.0,0
0_10_1_22_7,0,0.0,7,0.0,0.0,0
0_10_1_22_8,1,0.0,8,-1.0,-1.0,3
0_10_2_27_1,0,0.0,1,0.0,0.0,1
0_10_2_27_2,0,0.0,2,1.0,1.0,0
0_10_2_27_3,1,0.0,3,-1.0,-2.0,0
0_10_2_27_4,1,0.0,4,-2.0,-1.0,0
0_10_2_27_5,1,1.0,5,-3.0,-1.0,3
0_10_2_27_6,0,0.0,6,0.0,3.0,1
0_10_2_27_7,0,0.0,7,1.0,1.0,0
0_10_2_27_8,1,0.0,8,0.0,-1.0,1
0_10_2_43_1,1,0.0,1,0.0,0.0,0
0_10_2_43_2,1,0.0,2,-1.0,-1.0,2
0_10_2_43_3,0,0.0,3,1.0,2.0,1
0_10_2_43_4,0,0.0,4,2.0,1.0,1
0_10_2_43_5,0,0.0,5,3.0,1.0,0
0_10_2_43_6,1,1.0,6,0.0,-3.0,0
0_10_2_43_7,1,0.0,7,-1.0,-1.0,1
0_10_2_43_8,0,0.0,8,0.0,1.0,0
0_11_1_17_1,1,0.0,1,0.0,0.0,2
0_11_1_17_2,0,0.0,2,2.0,2.0,0
0_11_1_17_3,1,0.0,3,1.0,-1.0,1
0_11_1_17_4,0,0.0,4,2.0,1.0,0
0_11_1_17_5,1,0.0,5,1.0,-1.0,1
0_11_1_17_6,0,0.0,6,2.0,1.0,1
0_11_1_17_7,0,0.0,7,3.0,1.0,1
